,word,definition
105,akεzua,name of two Jba s Akε zua I and the present ba v iso aki months only used in connection with the numerals from two to twelve as in akiava m akia m akianε m akiasε m
106,akiaha,m akiahif n akiahi i o m akiagbe x m akiawoↄ o IT m akiaweva r m r months native ukpo a year
107,ako,a tree Dennettia tripetala its fruit is hot like pepper ako place encircled by hunters c f ibako ako a shrine moved through the streets at second burials of ba s Ihama and Ezↄmb s family corre sponds to ot in the case of commoners ako a position in the og
108,weεga,iron trap for animals nowadays mostly of European malke
109,akobiε,an idol in human shape built of mud for the children in the women s apart ment who also offer sacrifice to Akobiz and dance Though not a real god veneration of it may have a favourable effect on the increase of children in the house This was explained by the fact that the existence of an Akobiε attracts many children into the house and that some spirit may follow the children and see that children like the house Ekpo
110,akoribiε,a clay figure
111,alota,evening alkota n εɽ
112,ɣade,come to night cf ota ak tooth ak h a tusk blown whenever the dba is ap pearing at a ceremony or in a big dance i e whenever he is in full dress v L R fig GS ak si pigs tooth a tree Hylodendron gabunense used for beams supporting the ceiling and for verandah posts Called akasi because of its strong wood ak εhiε tooth of pepper a tree Albizzia sp used for roofing
113,oxogbo,a tree Ielrastemma dvoicum
114,akosↄ,a thorny creeper a little thicker than a man s thumb Uwaria macrotricha akjsↄ so ows akosↄ has stung my foot I have been stung by akoↄsↄ thorns
115,akuerhikdiri,a kind of worm or larva that builds its house of threads and sticks
116,akugbe,community union Akugbe N ↄhuaɽε Holy Communion cf ku gbe l akuif a dark brown bird with soft feathers edible
117,altumε,a tree Pterocarpus soyauxis used in building door frames egbaha the tree contains camwood but not a very good one it is not used for dyeing purposes cf ke
118,ume,a big tree akuↄmo womb akusmo fɽuε xerhe gbe your womb is very small said to a woman who has several times borne very small children
119,akwayagɣa,tree bear so called from its cry kwa a aɣa ɣa
120,nwanwanwanwanwa,thefeather of an arrow
121,alpi,bald head cf gbe I agbakpa
122,akpa,child in the womb foetus idiomatically used to indicate that there seems to be no reason for a man s action or for anything happening e g In ugu akpa giε a do you laugh with an unborn child what are you laughing at when seeing aman laughing without visible cause c ahava n akpa
123,akpa,fool not as strong an expression as ↄzud akpa ux you are a fool akpa n
124,ovivi,a fool who does things without deliberation
125,akpakomiza,an animal not found in Benin nowadays it has the surname akpakomiza n ↄgb ixwswse a who destroys exwe zweε because ac cording to tradition it drank palm wine from felled palm trees whenever it could find any and tore the trees with its claws in order to obtain more wine In the dra language akpakomize means lion
126,akpakpa,spider
127,akpakpava,street in Benin City leading from the Old Lort to Ikpoba also Ikpoba Road This street was not inhabited in former times and up to the time of the ba Adol the bodies of the deceased with the exception of the chiefs were exposed there akpalakp erha West African Grey Woodpecker
128,akpalode,leather medicine belt sewn by cobblers worn as a protection against charms put on the road and destined to cause diseases like elephantiasis or leprosy It also protects the wearer from gonorrhoea pains in the waist and the influences of witchcraft intended to cause Impotence
129,akpans,a tree I icalysi its branches are linked to the stem by joints cf kpano
130,akpata,native harp alkpat
131,ebo,tinea
132,akpawε,if it is said if Spems cue ivagu εe gbina if it were not for o I should have fought him of kpa we
133,akpekpε,platform built of small sticks as substitute for a mud bed e g in a hunting or working camp altar
134,akpεlε,amethod of divination similar to that known as ewawa but in akpε le a flat wooden plate is used instead of a drum and the images are taken in the hand not in a cup v iha
135,sbo,beads worn by women round the waist
136,akpↄko,smallest size of pepper hottest sort supposed to spring up from the excre ments of the asεsε bird alagbod pass cross road latest child of a woman who at her age might still have other children also used as a nickname alal a skin disease rashes looking like patches of powder it is supposed to be caused by a spider which when wounded by a man comes at night and licks his body cf elalb
137,alama,interference with other people s work e g by uncalled for help or gossipping cf
138,igbalama,a big monkey or ape
139,alexe,a dance performed by old men where everyone dances as he likes it is considered to be very funny
140,alemeεzε,a dark blue bird with long plumage grey head cf εz
141,alefe,or an escape c
142,le,a creeper that has a tendency to colil
143,alelε,a creeper that can grow very long mostly used to tie yam
144,alzvε,a night bird the Standard wing Nightjar it moves only a short way when stirred up alimi wQ smooth lizard uriyi c miↄyɣ
145,alimoi,T orange in alimo fi n exwa orange lemon in alimo i me gi ɽe lemon cf Port impes
146,alubarha,onion c Hausa albasa Yor alubↄsa y hil
147,alumagazi,scissors cf Hausa almakay i Yor alumbgaji am am am describes the cry of monkeys except that of ogi D astu am am am it is crying
148,ama,sign mark e g in dicating property ama n ↄr inya na lugzaε the mark which is on this yam is different omen ama fiia e ɽe an omen is biting me an omen shows itself to me e g buzzing ears for good or bad news a headache for bad news B symptom am uhudova fii oe ɽe a symptom of sickness is biting me brass fiure or plaque as a souvenir of somebody ↄsa e y ama he cast him in brass as a souvenir an oracle used to discover a name for a new Oba at Use an oracle used to discover hidden things and secret murder a special charm called uxudu n aya mu
149,ama,is carried by its owner on the palm of his hand it leads him te the spot where the corpse is hidden or to the criminal wound in yi ama wWl l
150,amε,water ame bi water is dark clouds have gathered rain is coming ame n ↄrhↄ rhↄ rain ame wewe drzzling rain ame ri shiε water eats pepper it drizzles a little still lesser degree than in the preceding case am eve water of weeping tears am enwε waterofbreast mother s milk also denoting a disease of the eye amdigbaro water does not beat face face cap c gbe
151,ao,a tree Licus asperi folim leaves are used as sand paper hence the idiom y eb ameme kp εfho a ya kpe fua a Wash your throat with am me leaves am not willing to glve you what you want
152,amenyanya,distant flashing of lightning This is possibly a sentence water is yawning amiↄra s adultery df
153,mie,hammock used be fore the arrival of the English for carrying chiefs who were travelling in the Jba s service amok en ↄf orhiↄ ham mock of the fainted stretcher Probably through the Port
154,amuegberiota,going to the ground with oneself humble ness Akugbe
155,amufi,a band of vilagers performing a certaln ceremony at the ugie called isiokuo they climb a high tree at Benin City the ↄ a tree beside the present Education Office with the help of ropes on top they fasten themselves to the stem but so as to be able to swing freely round it with spread arms and legs wearing rattles and bells they thus swing round making fluttering move ments with their arms In this way they imitate bats or birds and their performance is meant to represent a war against the sky v isickuo The dancers have the avamu as their taboo and they use a charm believed to enable them to fly if the rope breaks avamu is used in this charm
156,anwa,tongs
157,anyaerhi,owner of trees or wood a tree Distemonan thus benmthamianus The reason for this name is not clear cf nya erha
158,anyehr,a deaf man df ny eho
159,anyↄ,alcohol any ebo European drinks any ezin gin any ka maize wine any exws xwε cdf
160,exwexwe,raphia wine collected by cut ting a furrow along the stem after having removed the top of the tree anyↄ abalb strong liquor rum
161,anys,black rubber Funiumia elastica aɽaba n exwi l Idiom dvie LVHWOLOH v any he weeps with his tears flowing like the rubber tree i c as the latex runs down from the rubber tree
162,apopo,atree Lovoa klanecana used for timber
163,ara,avery small worm cater pillar living on leaves affects hunters very irritating to the skin ara rhie ε ara has attacked me
164,arale,interference with other people s talk etc name of a deity also called Arale n εbↄ n ↄw ifo A the deity who is in the open place it always does things without being asked to do them where upon people must make sacrHi fices to it witches report to it what they have seen ari next reincarnation only used with following avehe other next It is not certain whether the a of avehe does not really belong to ari c re
165,arioba,reign king dom government cf ɽe l ba T ari ↄkpa tail feather of a cock
166,ariorho,comein wet season any flowing water that dries IOo up or becomes quite shallow in the dry season cf re
167,orhs,lamp goer night moth cf rie ukpa ar a disease of animals affects goats sheep cattle etc skin eruptions like craw craw
168,arha,part of the ceremonies at the second burial takes place at night a person selected by the deceased acts as his representative during the night and on the following morning it is determined whether the sacrifice made to the deceased has been accepted arha pre cedes the institution of a shrine for the deceased v ɽe
169,arhεrhε,gentle treatment arhi arhuῦ
170,arhiↄkpaegbe,walking and standing up resurrection Akugbe
171,arhuafa,blind man
172,rhu,circumcision at no definite age cf rhuε arhu also arhi man person in connection with numerals only arhuv ↄkpa arhi Skpa one man arhuv eva arhi
173,eva,two men arhuon eha arhi eha three men arhud enε arhi enε four menj arhu isε arhi s five men arhu eha arhi eha s x men arhus ihif arb ihi seven men arhuv eɽE ɽ arhi eɽ f eight men arhu
174,ihifi,nine men arhu ighe arh ighe ten men arhu eso arhi
175,eso,some people ilu arhud eῦa no how many people are they arhu oto a viper bigger than
176,ivickpo,the rubber tree Fu tumia elastica aɽaba n exwi i anyↄ black rub ber aɽaba n ↄfua white rubber plantation rub ber cf Engl rubber
177,aɽagwa,a chief he has a quarter on the Siluko Road and keeps account of the time by counting the market days and observing the farming seasons he also knows the date of the last fall of rain in any year He keeps some of the rain water in a bottle until the following rainy season begilns
178,aɽaha,favourite wife now adays aB ebos i s more used a originally meant the favourite wife in the dba s harem
179,are,eating m in aɽe m egbe ma ma cating be good for the body answer to a junior s thanks for his food a wasting sickness
180,arebi,a kind of white yam f re bd c emaz
181,aɽekpa,an emetic df qe
182,kpa,a charm used to make someone reveal a secret e g in the case of wives who do not confess adultery cf ɽe
183,ta,swelling in the groin cf ix εvua l
184,aɽo,dye icam ukp y aɽo
185,nexwi,I want to dye the cloth black cf Yor aro L aɽo I x eye aɽo n ↄfua the white of the eye aɽo n ↄs oze sa eye that is cast in lead cataract aɽo εre εɣ mse vwe he does not see well idiom aɽo v e ghe vm J eve is very broad to him he is very greedy aɽwo oε ba my eye is red I am angry idiom aɽ uε iri ot your eyedoes not come down you are very angry said when trying to pacify somebody who is furious also you are wor ried aɽ uε suku MN your eye looks afraid you are shy face aɽ uε your face exclamation of surprise when meeting an acuaintance after a long absence surface aru s te surface of sore sore aɽu ↄmag surface of old scar kind sort aɽu skpa the same sort ar ukps G na xi sort of my cloth is this this is of the same kind as my cloth ao L hearth aɽ ewu hearth shrine of a god aɽ osa shrine of Osa avu εfae shrine of fae i e a hunters Ogii at which all their trophies are kept cf Yor aaro
186,aɽoicofiexↄeweriz,one thinks thought throws mind back return repentance Akugbe
187,arovεlε,greed aɽpovedε bl ε
188,gbe,greed is much for you you are very greedy cf aɽo ve
189,acowa,superior master cf te owa
190,ar,a fsh with a moustache its meat is good idiom same as eb evariε c Yor ard ande L cnpple with legs bent outward cf Yor ard
191,agugbo,farm doer far mer idiomatic cf Mu
192,ugbo,tongue idiom aɽavε fuε ta gbe your tongue is very long you twist a man s words in his mouth
193,afate,r animal aɽa e bu or kpↄ gbe v oha na there are many animals in this bush afav oha bush animal afa εzε river animal afa ato animal of the grassy plains meat afam uzo rhiεrhiε gbe antelope meat is very tasty
194,apεkε,a snake similar to
195,ovivie,a tree Afzelia afr cana bella and bipidensis
196,asa,whip w gbe
197,asa,shield nowadays a small shield carried in front of the ba Iyasε and some chiefs also called esa L R fig x oB wing covert of beetle or cricket cf Yor asa
198,asaka,a black road ant which smells bad and stings going in groups of I I asaka n oxi kpa single going ant another sort of road ant that stings badly
199,asaka,soup without meat
200,asavotd,black driver ants moving in large numbers smaller than asaka
201,ase,state of being not guilty iri ase v εῦε na ɽe I am not guilty in this affair
202,aseza,soldier cf Enagl soldier
203,ase,spot yasgɣ asa ni uɣa mi ↄε a go and look at that spot you will see it there period space of time ase ni mmnaɽu εe during that time he did it asε r command the grant of one s words coming true it is dangerous to utter anything detrimental to some body else Osa may make it come true c Yor afε as saliva
204,assgiz,iron rod for digging yams one side of it is broad some are also pointed
205,asekph,a white yam v ema
206,asεlε,a cricket asi hil a poisonous snake with a pointed head longer than
207,ovivie,the one with nuts a tree Phylanthus discoideus takes its name from the nut like round knolls in its wood which make it difficult to cut tissimilar toal sil though not as durable the wood is also used to make poles supporting the ceiling in native houses cf s ivi
208,asologd,xylophone
209,asoro,fruit of ebiεba very sweet found at the base of the plant Given in the F D list as Dioscoreophyilum lobatum Refers perhaps to ebiεba
210,asbb,night ov εg as at night time
211,asti,a shrub Randia coriacea its leaves when ground give a very durable black dye which is used by boys and girls to imi tate the tribal marks The F D list gives besides an as nexwi
212,asua,a harmful charm efbo hyD a pushing medicine which pushes people into dan ger lawsuits and disasters of every kind cf sua asu a shrub Carpolobia lutea itswoodis used tomalke the
213,akpata,forceful swallowing like that of a man who has got a morsel of food in the windpipe
214,ata,a tree Canthium glaby Sflorum from it medicine for
215,eda,is prepared
216,atayimua,what is said and cannot be debated soothsay ing cf ta mua The ɣ iIs probably the relic of an
217,ize,imitation of boa a snake bigger than aka but not so big as ikpi It has a very hard skin cf ta
218,ikpi,roll of tobacco of Port origin
219,atalakpa,leopard atalakp
220,iia,leopard man idio matic ↄxo s atalakpa sε he is as bad as a leopard Voracious people too are compared with leopards atat in atat abↄ palm of hand atat awε sole of foot
221,atauvi,the time preceding sunset the word was explained as being composed of tε and
222,uvi,and meaning something like deceiving the girls be cause the glow of the sunlight was sald to deceive people so that they stay longer on the farm and have to return when it is dark But this etymology seems doubtful
223,atete,fied selling in con trast to iɣo selling when sitting behind one s merchan dise
224,aterhu,a soft mat made from the reecd εbo easy to roll
225,atetd,a round flat cane tray made out of itoto and uxwerh oha used by wo men when hawking goods cf i o e Q grains in the market The grains are distri buted on it in heaps e Q for a penny
226,atiebi,caller of darkness a large insect perhaps a night moth
227,atita,meat an expression used when speaking with chil dren ifi atita nwuef I have cut you meat
228,ato,grassy plain as in the Kukuruku or Dw country
229,atorhi,gonorrhoea a better word than ↄkpatalz which also refers to a worse form of the disease cf Yor
230,atosi,whitlow finger must be cut off severe form of
231,isue,a small monkey which warns a troop of monkeys of the approach of any danger
232,ava,wooden or iron wedge used to split wood
233,ava,m thunder and lightning ava n uxuu thunder and lightning lit of above ava de y erha na lghtning struck this tree thunder bolt
234,ava,daytime wɣade ava n fɽ come in the course of the day avam u or an animal of the bat family the biggest one it climbs up trees clasping their trunks supposed to visit trees during every night cf Yor awamya
235,avig,clitoris
236,avavegbe,necessity want cf va e egbe
237,ave,ava a particle pre ceding the demonstrative pro nouns when used as nouns ave
238,na,these people ave ni those people oc casionally preceding nouns in the plural probably conveying a demonstrative idea av iXuo ni
239,hia,all those women av etε oε irHdwa my brothers are not at home preceding an interrogative a thereby adding a demon strative and nominal meaning av a noↄ l av aani ɽ who are those v iho
240,aveto,hair puller a kind of burr that sticks to one s clothes and hairs on the legs cf vo eto
241,aviɽε,coward probably also lazy person cf vie I
242,avioghε,an otu at the guae they announce the dba s orders in the town ringing bells εgogo
243,adε,m female woman e g in sm adῦε female child girl adv ig ↄba old ex pression for ibifk iyↄba wife ave Bε ↄna xi this is my wife av ebↄ favourite wife aῦ eb osa favourite of Osa woman with atresia vagilnae ap ogie rulers wite oloi used asaddress toan oloi by other women but also aw ba
244,awa,dog awas a charm in the shape of a pebble used to wish people evil or to bless them
245,aws,a big purple bird with a tuft on its head c Yor
246,agbe,fasting a modern Yoruba loan word cf Yor aawε and cf aguε
247,awod,another expression not so current for obobo cooked yam ground and at times mixed with oil
248,awua,taboo awua ε gb e family taboo awua εhi taboo of guardian spirit personal taboo existing in addition to the above awua
249,gfivi,tabooof the deity special taboo affecting priests cf wua
250,awuekia,impotent man df
251,wu,weaver bird a different kind is axa n onwina the carpenter weaver bird it has a red collar and its beautifully woven nest is to be found on the riverside with the mpouth towards the ground
252,axaε,disobedience
253,axarha,fork between legs cf Yor akata
254,axarho,a big monkey od Yor akato
255,axase,hw soothsayer cf a se
256,axe,wl L m than uwawa
257,axiada,eighth i innings In ayo gamo cf xiε sa
258,axi,selling cf xiε
259,axiε,mourning ↄɽu axiε he is in mourning f xiε
260,axigxie,the smallest kind of squirrel lives in hollow trees at the upper end they are hunted by smoking out the trees edible
261,axiↄda,senior house servant who looks after the house and property of his master in his absence and until his heir is grown up cf xε owa
262,axdxd,a fish with stinging fins
263,axua,subordinate of inferior rank axua ix v uw iɽa am inferior amongst them
264,axuwawa,soot
265,axuaxua,Pied Crow dark blue with a yellow collar round the neck
266,axuε,joint physiological
267,axuef,washing a greeting axuε mu mo may wash Ing lift up a child used to a Junior woman as reply to her family salute in the morning when she is leaving the men struation room i e when she has finished her washings df
268,xuε,lips axwarha
269,unu,lips axwarha unu
270,egile,underneath part of snail a word of abuse sru axwarhas unu dↄɣ ↄↄ v ↄɣL egilε he bhas a hanging I stronger winner in a game cf lip like that of a snail a xwarhao uhe labiamajora
271,axwaxuisa,scarab idiom XUO na yev aRwaxuisa Viwi o this woman is like a hmai le ugly cf isa
272,axwe,to morrow axwε uy ure to morrow you shall come
273,axwee,ɽ a creeper the fruit of which is used in playing marbles sorts axu ebo ebo D Klaineoxia gradi folim brown fruit a u ekpu Mucuna fiagellipes black fruit t is not certain whether the Latin terms are here rightly distributed game of marbles also played by adults gi a fi
274,axwee,let s play marbles
275,axwexae,a kind of heron which likes to bask in the sand cries piapia caught by means of an uho cf xuz I exae
276,axwexwe,a tree the fruits of which are used in the ↄɽ mila divination cf Yor a
277,kpεkpε,name of a Bini deity an ihε
278,axwoxwa,Double spurred Francolin
279,aya,a leaf used to prepare
280,afo,for the purpose of purification
281,aye,pleasure is in the world cf Yor aye
282,ayere,memuory df ye
283,re,m a seed a game played with seven of the above seeds which are thrown up into the air in increasing numbers and must be caught under in creasing difficulties There are eight innings in this game which is also played by adults if a man goes through the whole of it without a mistake his op ponent must start once again v ise n afi omunya th innings axiaga th innings gi a do fi ayo let s come and play ayo of Yor ayo
284,aza,store room in the house aza z long bell always found hanging over the image of a god aza a creeper Mussaenda elegans chewed by doctors to enable them to tell the future
285,azama,a deity or deities of the ba
286,azina,boar bush and do mestic
287,aze,fee e g for a native doc tor or somebody looking after a woman in childbirth or even for somebody to whom one owes a new position
288,azε,witch eating the souls of people witches are also called ifa n exwa the big ones ifa n iXi msi they who walk at night ifa n is ↄBa sε ra a who pass a man ie seniority rank power and na n ir abutete re they who are on the edges of theroad aman whose magic kills beople people who are unforgiving and revengeful such as try to poison others c Yor
289,aje,adze used for smoothing wood a word used in timber camps Engl
290,azimↄmvo,a tree Pachysicla micrantha its strong durable Ib wood is used for poles sup porting the ceiling of native houses and for making mortars pestles and hoe handles ILts charcoal is likewise very durable and used by smiths Because of these many uses the tree has the praise name erha n ↄm izo mM D l the tree that en genders money
291,az,dinner feast as given out of the ordinary routine in con trast to ew ↄ which means either a feast given to helpers under the use system or the yearly family festival w ka ba r to watch ba e ve deɣ ↄr eva watch it and see whether he is there b egbe to be watchful ↄb egbe rhia he is watchful by character b odε to watch the road e g in order to prevent passers by from spying into secret ceremonies to do something stealthily vw do ↄba rhi ε e he took it Secretly sba mu ε he carried it stealthily ba in ba ku to miss k fE se n ugɣeεba e ku aim at it properly that you ds not miss it to com mit a mistake ↄni r usu eo i n ↄ ba ku ɽ that is among the things he did by mistake
